timestamp,Bx,By,Bz,B_total
2026-08-18 05:14:00,20179.58,930.27,44667.23,49022.74
2026-08-18 05:15:00,20180.49,928.46,44667.64,49023.44
2026-08-18 05:16:00,20180.43,928.32,44667.79,49023.54
2026-08-18 05:17:00,20180.12,929.06,44667.99,49023.61
2026-08-18 05:18:00,20179.98,928.85,44667.62,49023.23
2026-08-18 05:19:00,20180.85,925.48,44668.25,49024.09
2026-08-18 05:20:00,20181.74,923.83,44669.31,49025.39
2026-08-18 05:21:00,20181.38,922.98,44669.49,49025.4
2026-08-18 05:22:00,20180.56,921.4,44669.61,49025.13
2026-08-18 05:23:00,20179.73,920.9,44669.67,49024.84
2026-08-18 05:24:00,20180.16,920.76,44669.57,49024.94
2026-08-18 05:25:00,20180.53,920.47,44669.36,49024.9
2026-08-18 05:26:00,20181.46,919.19,44669.74,49025.59
2026-08-18 05:27:00,20182.72,917.41,44670.2,49026.5
2026-08-18 05:28:00,20183.16,915.59,44670.51,49026.92
2026-08-18 05:29:00,20183.21,914.94,44670.45,49026.87
2026-08-18 05:30:00,20184.24,913.24,44670.65,49027.44
2026-08-18 05:31:00,20184.97,910.7,44671.24,49028.24
2026-08-18 05:32:00,20185.36,909.59,44671.43,49028.54
2026-08-18 05:33:00,20186.53,908.55,44671.61,49029.18
2026-08-18 05:34:00,20186.86,908.74,44671.53,49029.22
2026-08-18 05:35:00,20187.84,908.17,44671.15,49029.28
2026-08-18 05:36:00,20188.89,907.23,44671.08,49029.63
2026-08-18 05:37:00,20189.52,906.32,44671.35,49030.12
2026-08-18 05:38:00,20189.52,906.37,44671.06,49029.88
2026-08-18 05:39:00,20190.65,906.55,44670.57,49029.89
2026-08-18 05:40:00,20192.81,905.24,44670.79,49030.94
2026-08-18 05:41:00,20193.82,902.71,44671.21,49031.7
2026-08-18 05:42:00,20193.82,902.51,44671.04,49031.53
2026-08-18 05:43:00,20194.55,901.17,44670.96,49031.74
2026-08-18 05:44:00,20194.34,901.52,44670.69,49031.4
2026-08-18 05:45:00,20194.76,901.47,44670.55,49031.45
2026-08-18 05:46:00,20195.53,900.1,44670.43,49031.64
2026-08-18 05:47:00,20195.99,900.59,44670.38,49031.78
2026-08-18 05:48:00,20196.3,901.2,44669.77,49031.37
